# best of 60 interleaved trials, 384 MB arrays
# load at start: 3.69 5.59 5.13
threads        GB/s       vs 1
1              37.4       1.00
2              71.7       1.92
3              77.9       2.08
4              88.5       2.37
5              85.4       2.28
6              78.1       2.09
7              80.9       2.16
8              57.7       1.54
9              53.6       1.43
10             50.7       1.36
# load at end: 4.77 5.71 5.18
